  PID TTY          TIME CMD
    1 ?        00:00:03 systemd
    2 ?        00:00:00 kthreadd
    3 ?        00:00:01 ksoftirqd/0
    5 ?        00:00:00 kworker/0:0H
    7 ?        00:00:12 rcu_sched
    8 ?        00:00:00 rcu_bh
    9 ?        00:00:00 migration/0
   10 ?        00:00:00 watchdog/0
   11 ?        00:00:00 watchdog/1
   12 ?        00:00:00 migration/1
   13 ?        00:00:01 ksoftirqd/1
   15 ?        00:00:00 kworker/1:0H
   16 ?        00:00:00 khelper
   17 ?        00:00:00 kdevtmpfs
   18 ?        00:00:00 netns
   19 ?        00:00:00 perf
   20 ?        00:00:00 khungtaskd
   21 ?        00:00:00 writeback
   22 ?        00:00:00 ksmd
   23 ?        00:00:00 khugepaged
   24 ?        00:00:00 crypto
   25 ?        00:00:00 kintegrityd
   26 ?        00:00:00 bioset
   27 ?        00:00:00 kblockd
   28 ?        00:00:00 ata_sff
   29 ?        00:00:00 md
   30 ?        00:00:00 devfreq_wq
   35 ?        00:00:00 kswapd0
   36 ?        00:00:00 vmstat
   37 ?        00:00:00 fsnotify_mark
   38 ?        00:00:00 ecryptfs-kthrea
   50 ?        00:00:00 kthrotld
   51 ?        00:00:00 acpi_thermal_pm
   53 ?        00:00:00 ipv6_addrconf
   72 ?        00:00:00 deferwq
   73 ?        00:00:00 charger_manager
  121 ?        00:00:00 scsi_eh_0
  122 ?        00:00:00 scsi_tmf_0
  123 ?        00:00:00 kpsmoused
  124 ?        00:00:00 scsi_eh_1
  125 ?        00:00:00 scsi_tmf_1
  126 ?        00:00:00 scsi_eh_2
  127 ?        00:00:00 scsi_tmf_2
  130 ?        00:00:00 rtsx_pci_sdmmc_
  143 ?        00:00:00 jbd2/sda1-8
  144 ?        00:00:00 ext4-rsv-conver
  177 ?        00:00:00 kauditd
  210 ?        00:00:01 systemd-journal
  220 ?        00:00:01 systemd-udevd
  261 ?        00:00:00 kmemstick
  263 ?        00:00:00 kworker/1:1H
  290 ?        00:00:00 cfg80211
  310 ?        00:00:00 ttm_swap
  319 ?        00:00:00 kworker/0:1H
  333 ?        00:00:00 radeon-crtc
  334 ?        00:00:00 radeon-crtc
  335 ?        00:00:00 hd-audio0
  379 ?        00:00:00 systemd-timesyn
  541 ?        00:00:00 systemd-logind
  542 ?        00:00:03 NetworkManager
  550 ?        00:00:00 cgmanager
  558 ?        00:00:00 thermald
  571 ?        00:00:00 whoopsie
  575 ?        00:00:00 cron
  576 ?        00:00:00 ModemManager
  577 ?        00:00:00 accounts-daemon
  578 ?        00:00:00 avahi-daemon
  579 ?        00:00:00 rsyslogd
  581 ?        00:00:00 atd
  585 ?        00:00:00 cupsd
